Symbol,Date,Open,High,Low,Close,Volume
AAME,23-Oct-2013,4.04,4.06,4.04,4.06,2900
AAOI,23-Oct-2013,12.99,13.41,12.9,13.11,64900
AAON,23-Oct-2013,18.0667,18.44,17.68,18.3867,47700
AAPL,23-Oct-2013,74.1429,75.0957,74.1429,74.9943,11204400
AAWW,23-Oct-2013,46.52,47.74,45.96,47.38,315700
AAXJ,23-Oct-2013,60.48,60.57,60.13,60.16,598800
ABAX,23-Oct-2013,35.33,35.75,32.11,32.4,1459200
ABCB,23-Oct-2013,17.92,18,17.89,17.9,178000
ABCD,23-Oct-2013,1.32,1.35,1.31,1.34,23400
ABIO,23-Oct-2013,10.71,10.99,10.71,10.78,363500
ABMD,23-Oct-2013,20.14,20.87,20.1,20.59,225500
ACAD,23-Oct-2013,22.25,22.45,21.4,22.02,2428200
ACET,23-Oct-2013,16.62,16.83,16.59,16.7,86300
ACFC,23-Oct-2013,3.82,3.84,3.77,3.77,3700
ACGL,23-Oct-2013,57.22,57.61,57,57.24,173800
ACHC,23-Oct-2013,39.62,39.74,39.12,39.43,109800
ACHN,23-Oct-2013,2.71,2.77,2.7,2.7,965300
ACIW,23-Oct-2013,18.5533,18.6933,18.23,18.65,239500
ACLS,23-Oct-2013,9.6,9.8,9.36,9.52,438600
ACNB,23-Oct-2013,17.38,17.38,17.01,17.12,4100
ACOR,23-Oct-2013,32.55,33.28,32.35,33.23,272200
ACRX,23-Oct-2013,7.52,7.94,7.23,7.89,755300
ACST,23-Oct-2013,20,22.5,19.4,22.4,29500
ACTG,23-Oct-2013,15.71,15.99,15.38,15.68,742800
ACWI,23-Oct-2013,56.17,56.17,55.88,56.06,647400
ACWX,23-Oct-2013,46.67,46.67,46.44,46.56,339700
ACXM,23-Oct-2013,32,32.46,31.67,32.45,298400
ADBE,23-Oct-2013,52.75,53.45,52.15,53.06,4386700
ADES,23-Oct-2013,17.93,18.42,17.93,18.31,47500
ADI,23-Oct-2013,47.3,47.3,46.15,46.48,1659300
ADP,23-Oct-2013,66.0579,66.1193,65.6892,65.9439,1111500
ADRA,23-Oct-2013,30.21,30.21,30.21,30.21,0
ADRD,23-Oct-2013,24.69,24.69,24.58,24.58,900
ADRE,23-Oct-2013,38.62,38.62,38.3,38.33,33700
ADRU,23-Oct-2013,24.37,24.39,24.3,24.39,2700
ADSK,23-Oct-2013,39.76,39.99,39.24,39.49,1898200
ADTN,23-Oct-2013,24.85,25.16,24.58,24.78,422600
ADUS,23-Oct-2013,31.97,32.02,30.22,30.37,107000
ADXS,23-Oct-2013,3.62,3.74,3.41,3.49,267200
ADXSW,23-Oct-2013,1,1.1,0.99,1.04,99500
AEGN,23-Oct-2013,23.04,23.47,22.99,23.24,253300
AEHR,23-Oct-2013,2.75,2.81,2.6,2.62,37100
AEIS,23-Oct-2013,19.58,19.75,19.16,19.57,364200
AETI,23-Oct-2013,7.69,7.83,7.69,7.77,16500
AEY,23-Oct-2013,2.54,2.54,2.53,2.53,500
AEZS,23-Oct-2013,140,143,138,141,112400
AFAM,23-Oct-2013,19.01,19.19,18.95,19.08,22900
AFH,23-Oct-2013,10.5,10.69,10.5,10.55,6200
AFSI,23-Oct-2013,19.57,19.695,19.255,19.39,458900
AGEN,23-Oct-2013,2.52,2.62,2.5,2.54,315000
AGII,23-Oct-2013,42.79,43.52,42.03,42.82,68200
AGIIL,23-Oct-2013,21.54,22.35,21.54,22.34,29400
AGIO,23-Oct-2013,26.48,27.38,25.51,27.3,26100
AGNC,23-Oct-2013,23.68,24.19,23.65,24.01,4227700
